,loss,binary_accuracy,val_loss,val_binary_accuracy
0,0.7374814748764038,0.533187747001648,0.7679915428161621,0.4475524425506592
1,0.6942764520645142,0.5768558979034424,0.7277682423591614,0.5349650382995605
2,0.6833797693252563,0.5838428139686584,0.6144699454307556,0.6727272868156433
3,0.6787949204444885,0.5864628553390503,0.5375707149505615,0.7412587404251099
4,0.6722016334533691,0.596069872379303,0.6317228674888611,0.641258716583252
5,0.6717180013656616,0.6113536953926086,0.6821041703224182,0.59300696849823
6,0.6731496453285217,0.5943231582641602,0.5839029550552368,0.6881119012832642
7,0.6702735424041748,0.6013100147247314,0.5431076288223267,0.7377622127532959
8,0.6582925915718079,0.6131004095077515,0.6748653650283813,0.6027972102165222
9,0.6604892015457153,0.6139737963676453,0.5308803915977478,0.7426573634147644
10,0.657680332660675,0.6139737963676453,0.5739896297454834,0.6993007063865662
11,0.6567000150680542,0.6231440901756287,0.5462859272956848,0.7279720306396484
12,0.6512635350227356,0.6279475688934326,0.7301763892173767,0.5601398348808289
13,0.6469097137451172,0.6296943426132202,0.8065602779388428,0.49580419063568115
14,0.6533125638961792,0.6192139983177185,0.5981920957565308,0.6713286638259888
